0,count,mean,std,min,25%,50%,75%,max,pos_charge,neg_charge
H,45.000,0.336,0.049,0.300,0.310,0.310,0.320,0.440,0.336,0.000
HC,18.000,0.356,0.070,0.240,0.330,0.330,0.415,0.460,0.356,0.000
HA,124.000,0.089,0.005,0.050,0.090,0.090,0.090,0.090,0.089,0.000
HP,14.000,0.115,0.000,0.115,0.115,0.115,0.115,0.115,0.115,0.000
HB,30.000,0.090,0.002,0.090,0.090,0.090,0.090,0.100,0.090,0.000
HR1,4.000,0.130,0.000,0.130,0.130,0.130,0.130,0.130,0.130,0.000
HR2,1.000,0.180,0.000,0.180,0.180,0.180,0.180,0.180,0.180,0.000
HR3,3.000,0.093,0.006,0.090,0.090,0.090,0.095,0.100,0.093,0.000
HS,1.000,0.160,0.000,0.160,0.160,0.160,0.160,0.160,0.160,0.000
HE1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HE2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
C,30.000,0.514,0.024,0.510,0.510,0.510,0.510,0.640,0.514,0.000
CA,17.000,-0.079,0.070,-0.115,-0.115,-0.115,-0.115,0.110,0.000,0.079
CT1,28.000,0.068,0.068,-0.090,0.070,0.070,0.070,0.210,0.068,0.000
CT2,33.000,-0.113,0.126,-0.280,-0.180,-0.180,-0.080,0.210,0.000,0.113
CT3,18.000,-0.242,0.058,-0.270,-0.270,-0.270,-0.270,-0.110,0.000,0.242
CPH1,8.000,0.111,0.134,-0.050,-0.050,0.190,0.220,0.220,0.111,0.000
CPH2,4.000,0.268,0.035,0.250,0.250,0.250,0.268,0.320,0.268,0.000
CPT,2.000,0.055,0.106,-0.020,0.018,0.055,0.092,0.130,0.055,0.000
CY,1.000,-0.030,0.000,-0.030,-0.030,-0.030,-0.030,-0.030,0.000,0.030
CP1,2.000,0.090,0.099,0.020,0.055,0.090,0.125,0.160,0.090,0.000
CP2,2.000,-0.180,0.000,-0.180,-0.180,-0.180,-0.180,-0.180,0.000,0.180
CP3,2.000,0.080,0.113,0.000,0.040,0.080,0.120,0.160,0.080,0.000
CC,6.000,0.538,0.103,0.340,0.550,0.550,0.603,0.620,0.538,0.000
CD,4.000,0.713,0.057,0.630,0.698,0.735,0.750,0.750,0.713,0.000
CS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CE1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CE2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
C3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
N,1.000,-0.290,0.000,-0.290,-0.290,-0.290,-0.290,-0.290,0.000,0.290
NR1,3.000,-0.360,0.000,-0.360,-0.360,-0.360,-0.360,-0.360,0.000,0.360
NR2,3.000,-0.700,0.000,-0.700,-0.700,-0.700,-0.700,-0.700,0.000,0.700
NR3,2.000,-0.510,0.000,-0.510,-0.510,-0.510,-0.510,-0.510,0.000,0.510
NH1,25.000,-0.470,0.000,-0.470,-0.470,-0.470,-0.470,-0.470,0.000,0.470
NH2,5.000,-0.756,0.186,-0.960,-0.960,-0.620,-0.620,-0.620,0.000,0.756
NH3,3.000,-0.300,0.000,-0.300,-0.300,-0.300,-0.300,-0.300,0.000,0.300
NC2,3.000,-0.767,0.058,-0.800,-0.800,-0.800,-0.750,-0.700,0.000,0.767
NY,1.000,-0.610,0.000,-0.610,-0.610,-0.610,-0.610,-0.610,0.000,0.610
NP,1.000,-0.070,0.000,-0.070,-0.070,-0.070,-0.070,-0.070,0.000,0.070
O,32.000,-0.514,0.012,-0.550,-0.510,-0.510,-0.510,-0.510,0.000,0.514
OB,4.000,-0.542,0.015,-0.550,-0.550,-0.550,-0.542,-0.520,0.000,0.542
OC,6.000,-0.730,0.046,-0.760,-0.760,-0.760,-0.693,-0.670,0.000,0.730
OH1,6.000,-0.615,0.044,-0.660,-0.647,-0.610,-0.610,-0.540,0.000,0.615
OS,1.000,-0.340,0.000,-0.340,-0.340,-0.340,-0.340,-0.340,0.000,0.340
S,2.000,-0.160,0.099,-0.230,-0.195,-0.160,-0.125,-0.090,0.000,0.160
SM,2.000,-0.080,0.000,-0.080,-0.080,-0.080,-0.080,-0.080,0.000,0.080
SS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
